yearQtr,householdDebt,effFundsRate,autoDealerSales,autoLoan,caseShillerIndex,cpi,fed1YearYield,fed10YearYield,fed30YearYield,fed1MonthYield,fed3MonthYield,ppi,gdp,consumerRent,unemploymentRate,householdDebtToGdp,studentLoan,medianHomePrice
1916-1,,,,,,,,,,,,13.9,,,,,,
1916-2,,,,,,,,,,,,14.3,,,,,,
1916-3,,,,,,,,,,,,15,,,,,,
1916-4,,,,,,,,,,,,17.1,,,,,,
1917-1,,,,,,,,,,,,18.5,,,,,,
1917-2,,,,,,,,,,,,21,,,,,,
1917-3,,,,,,,,,,,,21.3,,,,,,
1917-4,,,,,,,,,,,,21.2,,,,,,
1918-1,,,,,,,,,,,,21.8,,,,,,
1918-2,,,,,,,,,,,,22.2,,,,,,
1918-3,,,,,,,,,,,,23.7,,,,,,
1918-4,,,,,,,,,,,,23.5,,,,,,
1919-1,,,,,,,,,,,,22.6,,,,,,
1919-2,,,,,,,,,,,,23.4,,,,,,
1919-3,,,,,,,,,,,,24.3,,,,,,
1919-4,,,,,,,,,,,,26,,,,,,
1920-1,,,,,,,,,,,,27.3,,,,,,
1920-2,,,,,,,,,,,,28.7,,,,,,
1920-3,,,,,,,,,,,,26.8,,,,,,
1920-4,,,,,,,,,,,,20.8,,,,,,
1921-1,,,,,,,,,,,,17.7,,,,,,
1921-2,,,,,,,,,,,,16.1,,,,,,
1921-3,,,,,,,,,,,,16.1,,,,,,
1921-4,,,,,,,,,,,,16,,,,,,
1922-1,,,,,,,,,,,,16,,,,,,
1922-2,,,,,,,,,,,,16.6,,,,,,
1922-3,,,,,,,,,,,,17.1,,,,,,
1922-4,,,,,,,,,,,,17.3,,,,,,
1923-1,,,,,,,,,,,,18,,,,,,
1923-2,,,,,,,,,,,,17.3,,,,,,
1923-3,,,,,,,,,,,,17.2,,,,,,
1923-4,,,,,,,,,,,,16.9,,,,,,
1924-1,,,,,,,,,,,,17,,,,,,
1924-2,,,,,,,,,,,,16.4,,,,,,
1924-3,,,,,,,,,,,,16.7,,,,,,
1924-4,,,,,,,,,,,,17.5,,,,,,
1925-1,,,,,,,,,,,,17.9,,,,,,
1925-2,,,,,,,,,,,,17.7,,,,,,
1925-3,,,,,,,,,,,,17.8,,,,,,
1925-4,,,,,,,,,,,,17.8,,,,,,
1926-1,,,,,,,,,,,,17.3,,,,,,
1926-2,,,,,,,,,,,,17.3,,,,,,
1926-3,,,,,,,,,,,,17.2,,,,,,
1926-4,,,,,,,,,,,,16.9,,,,,,
1927-1,,,,,,,,,,,,16.5,,,,,,
1927-2,,,,,,,,,,,,16.2,,,,,,
1927-3,,,,,,,,,,,,16.6,,,,,,
1927-4,,,,,,,,,,,,16.6,,,,,,
1928-1,,,,,,,,,,,,16.5,,,,,,
1928-2,,,,,,,,,,,,16.7,,,,,,
1928-3,,,,,,,,,,,,17,,,,,,
1928-4,,,,,,,,,,,,16.5,,,,,,
1929-1,,,,,,,,,,,,16.6,,,,,,
1929-2,,,,,,,,,,,,16.4,,,,,,
1929-3,,,,,,,,,,,,16.6,,,,,,
1929-4,,,,,,,,,,,,16.1,,,,,,
1930-1,,,,,,,,,,,,15.5,,,,,,
1930-2,,,,,,,,,,,,15,,,,,,
1930-3,,,,,,,,,,,,14.5,,,,,,
1930-4,,,,,,,,,,,,13.7,,,,,,
1931-1,,,,,,,,,,,,13.1,,,,,,
1931-2,,,,,,,,,,,,12.4,,,,,,
1931-3,,,,,,,,,,,,12.3,,,,,,
1931-4,,,,,,,,,,,,11.8,,,,,,
1932-1,,,,,,,,,,,,11.4,,,,,,
1932-2,,,,,,,,,,,,11,,,,,,
1932-3,,,,,,,,,,,,11.3,,,,,,
1932-4,,,,,,,,,,,,10.8,,,,,,
1933-1,,,,,,,,,,,,10.4,,,,,,
1933-2,,,,,,,,,,,,11.2,,,,,,
1933-3,,,,,,,,,,,,12.2,,,,,,
1933-4,,,,,,,,,,,,12.2,,,,,,
1934-1,,,,,,,,,,,,12.7,,,,,,
1934-2,,,,,,,,,,,,12.9,,,,,,
1934-3,,,,,,,,,,,,13.4,,,,,,
1934-4,,,,,,,,,,,,13.3,,,,,,
1935-1,,,,,,,,,,,,13.7,,,,,,
1935-2,,,,,,,,,,,,13.8,,,,,,
1935-3,,,,,,,,,,,,13.9,,,,,,
1935-4,,,,,,,,,,,,14,,,,,,
1936-1,,,,,,,,,,,,13.7,,,,,,
1936-2,,,,,,,,,,,,13.7,,,,,,
1936-3,,,,,,,,,,,,14,,,,,,
1936-4,,,,,,,,,,,,14.5,,,,,,
1937-1,,,,,,,,,,,,15.1,,,,,,
1937-2,,,,,,,,,,,,15,,,,,,
1937-3,,,,,,,,,,,,15.1,,,,,,
1937-4,,,,,,,,,,,,14.1,,,,,,
1938-1,,,,,,,,,,,,13.7,,,,,,
1938-2,,,,,,,,,,,,13.5,,,,,,
1938-3,,,,,,,,,,,,13.5,,,,,,
1938-4,,,,,,,,,,,,13.3,,,,,,
1939-1,,,,,,,,,,,,13.2,,,,,,
1939-2,,,,,,,,,,,,13,,,,,,
1939-3,,,,,,,,,,,,13.6,,,,,,
1939-4,,,,,,,,,,,,13.7,,,,,,
1940-1,,,,,,,,,,,,13.5,,,,,,
1940-2,,,,,,,,,,,,13.4,,,,,,
1940-3,,,,,,,,,,,,13.4,,,,,,
1940-4,,,,,,,,,,,,13.8,,,,,,
1941-1,,,,,,,,,,,,14,,,,,,
1941-2,,,,,,,,,,,,15,,,,,,
1941-3,,,,,,,,,,,,15.8,,,,,,
1941-4,,,,,,,,,,,,16.2,,,,,,
1942-1,,,,,,,,,,,,16.8,,,,,,
1942-2,,,,,,,,,,,,17,,,,,,
1942-3,,,,,,,,,,,,17.2,,,,,,
1942-4,,,,,,,,,,,,17.4,,,,,,
1943-1,,,,,,,,,,,,17.8,,,,,,
1943-2,,,,,,,,,,,,17.9,,,,,,
1943-3,,,,,,,,,,,,17.8,,,,,,
1943-4,,,,,,,,,,,,17.8,,,,,,
1944-1,,,,,,,,,,,,17.9,,,,,,
1944-2,,,,,,,,,,,,18,,,,,,
1944-3,,,,,,,,,,,,17.9,,,,,,
1944-4,,,,,,,,,,,,18,,,,,,
1945-1,,,,,,,,,,,,18.1,,,,,,
1945-2,,,,,,,,,,,,18.3,,,,,,
1945-3,,,,,,,,,,,,18.1,,,,,,
1945-4,,,,,,,,,,,,18.4,,,,,,
1946-1,,,,,,,,,,,,18.8,,,,,,
1946-2,,,,,,,,,,,,19.4,,,,,,
1946-3,,,,,,,,,,,,21.4,,,,,,
1946-4,,,,,,,,,,,,24.3,,,,,,
1947-1,,,,22,,22,,,,,,25.3,243.164,,,,,
1947-2,,,,22.08,,22.08,,,,,,25,245.968,,,,,
1947-3,,,,22.84,,22.84,,,,,,26.1,249.585,,,,,
1947-4,,,,23.41,,23.41,,,,,,27.2,259.745,,,,,
1948-1,,,,23.5,,23.5,,,,,,27.2,265.742,,4,,,
1948-2,,,,24.15,,24.15,,,,,,27.7,272.567,,3.6,,,
1948-3,,,,24.36,,24.36,,,,,,28.1,279.196,,3.8,,,
1948-4,,,,24.05,,24.05,,,,,,27.6,280.366,,4,,,
1949-1,,,,23.91,,23.91,,,,,,26.8,275.034,,5,,,
1949-2,,,,23.92,,23.92,,,,,,26,271.351,,6.2,,,
1949-3,,,,23.75,,23.75,,,,,,26.1,272.889,,6.6,,,
1949-4,,,,23.61,,23.61,,,,,,25.9,270.627,,6.6,,,
1950-1,,,,23.64,,23.64,,,,,,26.1,280.828,,6.3,,,
1950-2,,,,23.88,,23.88,,,,,,26.6,290.383,,5.4,,,
1950-3,,,,24.34,,24.34,,,,,,28.4,308.153,,4.4,,,
1950-4,,,,24.98,,24.98,,,,,,29.7,319.945,,4.3,,,
1951-1,,,,25.88,,25.88,,,,,,30.9,336,,3.4,,,
1951-2,,,,25.93,,25.93,,,,,,30.5,344.09,,3.2,,,
1951-3,,,,26.03,,26.03,,,,,,30.1,351.385,,3.3,,,
1951-4,,,,26.47,,26.47,,,,,,30.1,356.178,,3.1,,,
1952-1,,,,26.39,,26.39,,,,,,29.8,359.82,,2.9,,,
1952-2,,,,26.53,,26.53,,,,,,29.5,361.03,,3,,,
1952-3,,,,26.63,,26.63,,,,,,29.6,367.701,,3.1,,,
1952-4,,,,26.71,,26.71,,,,,,29.1,380.812,,2.7,,,
1953-1,,,,26.63,,26.63,,,,,,29.2,387.98,,2.6,,,
1953-2,,,,26.77,,26.77,2.45,3.11,,,,29,391.749,,2.5,,,
1953-3,,,,26.89,,26.89,2.2,2.87,,,,29.4,391.171,,2.9,,,
1953-4,,,,26.87,,26.87,1.66,2.59,,,,29.2,385.97,,4.5,,,
1954-1,,,,26.93,,26.93,1.13,2.37,,,,29.3,385.345,,5.7,,,
1954-2,,,,26.94,,26.94,0.82,2.38,,,,29.2,386.121,,5.6,,,
1954-3,,1.44,,26.81,,26.81,1.03,2.38,,,,29.2,390.996,,6.1,,,
1954-4,,1.25,,26.77,,26.77,1.21,2.51,,,,29,399.734,,5,,,
1955-1,,1.44,,26.79,,26.79,1.59,2.68,,,,29.2,413.073,,4.6,,,
1955-2,,1.69,,26.71,,26.71,1.91,2.78,,,,29.3,421.532,,4.2,,,
1955-3,,2,,26.85,,26.85,2.36,2.97,,,,29.6,430.221,,4.1,,,
1955-4,,2.5,,26.87,,26.87,2.73,2.96,,,,29.5,437.092,,4.2,,,
1956-1,,2.5,,26.89,,26.89,2.61,2.96,,,,29.9,439.746,,4.2,,,
1956-2,,2.75,,27.15,,27.15,2.74,3,,,,30.3,446.01,,4.3,,,
1956-3,,3,,27.35,,27.35,3.35,3.38,,,,30.6,451.191,,3.9,,,
1956-4,,3,,27.63,,27.63,3.68,3.59,,,,30.8,460.463,,4.2,,,
1957-1,,3,,27.86,,27.86,3.42,3.41,,,,31,469.779,,3.7,,,
1957-2,,3,,28.11,,28.11,3.65,3.8,,,,31.1,472.025,,4.3,,,
1957-3,,3.5,,28.32,,28.32,4.07,3.92,,,,31.3,479.49,,4.4,,,
1957-4,,3,,28.47,,28.47,3.18,3.21,,,,31.4,474.864,,5.2,,,
1958-1,,0.5,,28.87,,28.87,1.84,2.98,,,,31.7,467.54,,6.7,,,
1958-2,,0.13,,28.91,,28.91,1.23,2.97,,,,31.6,471.978,,7.3,,,
1958-3,,1.75,,28.91,,28.91,3.05,3.76,,,,31.6,485.841,,7.1,,,
1958-4,,2.38,,28.97,,28.97,3.29,3.86,,,,31.6,499.555,,6.2,,,
1959-1,,2.5,,28.97,,28.97,3.61,3.99,,,,31.7,510.33,,5.6,,,
1959-2,,3,,29.11,,29.11,4.07,4.34,,,,31.7,522.653,,5,,,
1959-3,,3.5,,29.25,,29.25,5,4.68,,,,31.7,525.034,,5.5,,,
1959-4,,4,,29.41,,29.41,5.14,4.69,,,,31.5,528.6,,5.3,,,
1960-1,,4,,29.41,,29.41,4.02,4.25,,,,31.8,542.648,,5.4,,,
1960-2,,2,,29.61,,29.61,3.36,4.15,,,,31.7,541.08,,5.4,,,
1960-3,,3,,29.61,,29.61,3.07,3.8,,,,31.6,545.604,,5.5,,,
1960-4,,1.5,,29.81,,29.81,2.86,3.84,,,,31.7,540.197,,6.6,,,
1961-1,,2,,29.84,,29.84,2.88,3.74,,,,31.8,545.018,,6.9,,,
1961-2,,2,,29.84,,29.84,3.06,3.88,,,,31.3,555.545,,6.9,,,
1961-3,,1.5,,29.98,,29.98,3.06,3.98,,,,31.5,567.664,,6.7,,,
1961-4,,2.25,,30.01,,30.01,3.18,4.06,,,,31.6,580.612,,6,,,
1962-1,,2.5,,30.17,,30.17,3.06,3.93,,,,31.7,594.013,,5.6,,,
1962-2,,2.75,,30.21,,30.21,3.03,3.91,,,,31.5,600.366,,5.5,,,
1962-3,,3,,30.42,,30.42,3.06,3.98,,,,31.9,609.027,,5.6,,,
1962-4,,2.88,,30.38,,30.38,3.01,3.86,,,,31.6,612.28,,5.5,,,
1963-1,,3,,30.51,,30.51,3.03,3.93,,,,31.5,621.672,,5.7,,,17800
1963-2,,3,,30.61,,30.61,3.2,3.99,,,,31.6,629.752,,5.6,,,18000
1963-3,,3.5,,30.72,,30.72,3.57,4.08,,,,31.6,644.444,,5.5,,,17900
1963-4,,3.5,,30.88,,30.88,3.81,4.13,,,,31.6,653.938,,5.5,,,18500
1964-1,,3.5,,30.94,,30.94,3.91,4.22,,,,31.6,669.822,,5.4,,,18500
1964-2,,3.5,,31.01,,31.01,3.83,4.17,,,,31.5,678.674,,5.2,,,18900
1964-3,,3.5,,31.08,,31.08,3.84,4.2,,,,31.7,692.031,,5.1,,,18900
1964-4,,4,,31.25,,31.25,4.02,4.18,,,,31.7,697.319,,5,,,19400
1965-1,,4,,31.31,,31.31,4.06,4.21,,,,31.9,717.79,,4.7,,,20200
1965-2,,4.13,,31.61,,31.61,3.99,4.21,,,,32.4,730.191,,4.6,,,19800
1965-3,,3.75,,31.62,,31.62,4.2,4.29,,,,32.4,749.323,,4.3,,,20200
