state,Q4_2003,Q4_2004,Q4_2005,Q4_2006,Q4_2007,Q4_2008,Q4_2009,Q4_2010,Q4_2011,Q4_2012,Q4_2013,Q4_2014,Q4_2015,Q4_2016,Q4_2017,Q4_2018,Q4_2019
RI,4.900000095,5.010000229,7.429999828,7.869999886,8.260000229,9.210000038,9.970000267,12.09000015,9.170000076,13.10999966,12.31999969,11.5,10.69999981,10.68999958,10.06,10.40,10.61
SC,8.609999657,7.590000153,8.029999733,8.880000114,9.789999962,10.82999992,11.06000042,10.97000027,10,13.53999996,14.18999958,13.17000008,11.63000011,12.10999966,13.58,13.13,13.98
SD,3.390000105,4.210000038,4.599999905,6.730000019,7.880000114,7.099999905,5.849999905,5.730000019,3.539999962,6.550000191,7.650000095,8.090000153,8.850000381,10.07999992,10.93,9.87,8.20
TN,5.980000019,6.909999847,6.619999886,7.400000095,7.690000057,9.720000267,10.01000023,10.27000046,8.93999958,12.96000004,13.36999989,13.43999958,13.85999966,13.81000042,13.57,13.86,12.67
TX,7.190000057,7.670000076,6.949999809,9.420000076,10.06999969,9.729999542,10.47999954,10.63000011,10.26000023,13.92000008,13.06999969,13.30000019,12.73999977,12.46000004,11.11,13.75,11.90
UT,5.590000153,4.070000172,5.960000038,6.21999979,6.599999905,7.159999847,6.730000019,8.739999771,6.46999979,10.02000046,10.18999958,8.279999733,9.109999657,9.090000153,9.05,8.48,9.04
VA,5.420000076,5.800000191,5.940000057,5.75,5.940000057,6.340000153,7.630000114,8.18999958,6.800000191,9.609999657,9.600000381,9.68999958,10.21000004,9.18999958,10.13,9.70,10.34
VT,3.74000001,3.710000038,3.49000001,3.160000086,4.349999905,5.940000057,6.119999886,6.099999905,5.369999886,8.31000042,8.109999657,9.5,7.889999866,8.479999542,8.09,7.90,7.72
WA,4.96999979,5.699999809,5.179999828,6.670000076,7.289999962,7.130000114,8.170000076,8.319999695,7.170000076,10.05000019,9.880000114,9.5,8.619999886,8.920000076,9.47,8.79,8.62
WI,5.21999979,4.329999924,4.5,4.460000038,5.099999905,4.829999924,5.869999886,6.239999771,6.079999924,8.25,8.109999657,7.869999886,8.609999657,9.300000191,9.36,8.57,8.89
WV,8.43999958,8.649999619,9.899999619,9.930000305,9.43999958,10.52000046,10.77000046,11.21000004,10.68999958,17.77000046,17.21999931,16.86000061,18.36000061,16.39999962,16.15,18.01,15.83
WY,3.160000086,6.050000191,7.71999979,7.309999943,9.5,8.909999847,5.210000038,6.070000172,5.130000114,9.289999962,12.92000008,9.380000114,9.960000038,10.48999977,9.01,11.41,9.32
